,0,1,2,3,4,5,6,7,8,9,10
69,63.0,60.0,59.0,62.0,60.0,60.0,63.0,61.0,62.0,61.0,64.0
70,63.0,61.0,59.0,62.0,59.0,58.0,63.0,61.0,62.0,60.0,64.0
71,62.0,60.0,58.0,62.0,59.0,60.0,63.0,61.0,61.0,61.0,62.0
72,63.0,61.0,57.0,62.0,58.0,61.0,63.0,61.0,61.0,62.0,62.0
73,62.0,59.0,58.0,62.0,57.0,60.0,62.0,61.0,61.0,61.0,62.0
74,62.0,59.0,58.0,61.0,58.0,60.0,62.0,60.0,62.0,61.0,63.0
75,62.0,60.0,58.0,61.0,58.0,60.0,61.0,60.0,62.0,61.0,64.0
76,60.0,59.0,56.0,61.0,59.0,60.0,61.0,60.0,61.0,61.0,63.0
77,60.0,60.0,55.0,61.0,59.0,60.0,61.0,60.0,61.0,61.0,63.0
78,60.0,59.0,55.0,61.0,58.0,60.0,61.0,60.0,61.0,60.0,63.0
79,62.0,58.0,55.0,61.0,58.0,58.0,62.0,60.0,61.0,60.0,62.0
80,60.0,59.0,55.0,61.0,57.0,59.0,62.0,60.0,61.0,60.0,62.0
81,64.0,59.0,56.0,63.0,59.0,60.0,63.0,63.0,61.0,62.0,64.0
82,64.0,63.0,58.0,65.0,62.0,64.0,64.0,65.0,62.0,64.0,66.0
83,66.0,63.0,60.0,70.0,63.0,67.0,68.0,69.0,66.0,68.0,69.0
84,71.0,65.0,63.0,73.0,66.0,68.0,70.0,71.0,69.0,69.0,69.0
85,70.0,65.0,65.0,76.0,65.0,68.0,72.0,73.0,70.0,69.0,69.0
86,71.0,65.0,65.0,74.0,65.0,69.0,72.0,73.0,69.0,70.0,68.0
87,72.0,65.0,64.0,74.0,65.0,69.0,73.0,73.0,69.0,70.0,66.0
88,71.0,66.0,62.0,72.0,64.0,69.0,70.0,72.0,67.0,70.0,67.0
89,68.0,65.0,61.0,71.0,56.0,67.0,70.0,70.0,66.0,69.0,65.0
90,67.0,64.0,59.0,68.0,51.0,65.0,68.0,66.0,64.0,66.0,63.0
91,67.0,62.0,56.0,66.0,49.0,62.0,66.0,66.0,63.0,64.0,62.0
92,65.0,61.0,55.0,64.0,48.0,60.0,60.0,64.0,60.0,63.0,61.0
93,64.0,61.0,48.0,63.0,48.0,62.0,59.0,63.0,52.0,63.0,61.0
94,65.0,62.0,48.0,64.0,47.0,63.0,59.0,63.0,52.0,64.0,61.0
95,64.0,62.0,47.0,65.0,46.0,63.0,58.0,63.0,50.0,64.0,60.0
96,64.0,63.0,47.0,66.0,46.0,64.0,56.0,64.0,48.0,64.0,62.0
97,63.0,62.0,45.0,66.0,45.0,63.0,56.0,62.0,48.0,64.0,62.0
98,65.0,62.0,45.0,65.0,44.0,63.0,56.0,62.0,48.0,63.0,62.0
99,64.0,63.0,45.0,65.0,44.0,63.0,56.0,62.0,48.0,63.0,63.0
100,64.0,62.0,47.0,65.0,44.0,63.0,55.0,63.0,49.0,64.0,61.0
101,64.0,60.0,55.0,65.0,44.0,64.0,54.0,63.0,48.0,64.0,59.0
102,64.0,60.0,54.0,65.0,44.0,65.0,53.0,63.0,47.0,64.0,58.0
103,64.0,60.0,55.0,65.0,44.0,65.0,54.0,64.0,47.0,65.0,58.0
104,65.0,58.0,53.0,65.0,44.0,64.0,54.0,64.0,47.0,64.0,49.0
105,66.0,58.0,55.0,69.0,44.0,65.0,54.0,65.0,47.0,65.0,48.0
106,66.0,57.0,55.0,70.0,45.0,66.0,54.0,65.0,47.0,66.0,47.0
107,67.0,57.0,53.0,71.0,46.0,66.0,52.0,67.0,46.0,65.0,49.0
108,68.0,56.0,53.0,71.0,46.0,65.0,53.0,67.0,47.0,64.0,51.0
109,68.0,56.0,54.0,70.0,46.0,65.0,54.0,66.0,47.0,64.0,53.0
110,66.0,54.0,48.0,71.0,47.0,66.0,54.0,66.0,48.0,65.0,52.0
111,66.0,52.0,49.0,71.0,47.0,66.0,54.0,66.0,49.0,65.0,52.0
112,66.0,51.0,52.0,72.0,48.0,63.0,54.0,66.0,49.0,61.0,52.0
113,66.0,50.0,51.0,70.0,47.0,60.0,54.0,62.0,49.0,60.0,50.0
114,63.0,49.0,48.0,64.0,46.0,59.0,53.0,61.0,48.0,59.0,50.0
115,54.0,46.0,47.0,63.0,46.0,57.0,52.0,61.0,47.0,57.0,45.0
116,52.0,44.0,46.0,61.0,46.0,56.0,49.0,59.0,46.0,56.0,43.0
117,49.0,41.0,46.0,61.0,45.0,54.0,48.0,58.0,43.0,54.0,41.0
118,47.0,40.0,45.0,58.0,44.0,52.0,47.0,53.0,43.0,51.0,41.0
119,47.0,36.0,43.0,51.0,43.0,47.0,44.0,51.0,41.0,47.0,39.0
120,47.0,33.0,43.0,50.0,42.0,45.0,42.0,50.0,41.0,45.0,37.0
121,46.0,35.0,43.0,50.0,41.0,44.0,41.0,48.0,40.0,44.0,36.0
122,45.0,32.0,41.0,49.0,40.0,42.0,39.0,46.0,37.0,42.0,35.0
123,43.0,33.0,40.0,47.0,39.0,41.0,38.0,45.0,37.0,41.0,35.0
124,41.0,32.0,38.0,45.0,37.0,40.0,37.0,43.0,35.0,39.0,34.0
125,41.0,32.0,36.0,45.0,36.0,39.0,36.0,40.0,33.0,38.0,34.0
126,39.0,29.0,35.0,44.0,35.0,35.0,37.0,37.0,36.0,35.0,34.0
127,39.0,32.0,33.0,42.0,34.0,36.0,34.0,33.0,35.0,34.0,32.0
128,40.0,31.0,34.0,40.0,35.0,36.0,35.0,32.0,33.0,34.0,32.0
129,43.0,32.0,33.0,42.0,37.0,37.0,38.0,39.0,37.0,37.0,34.0
130,45.0,33.0,38.0,44.0,39.0,40.0,41.0,43.0,38.0,41.0,34.0
131,44.0,34.0,40.0,45.0,40.0,41.0,43.0,45.0,39.0,42.0,34.0
132,45.0,35.0,39.0,47.0,41.0,42.0,45.0,46.0,42.0,44.0,34.0
133,46.0,33.0,40.0,48.0,40.0,43.0,45.0,46.0,41.0,44.0,35.0
134,46.0,33.0,40.0,48.0,41.0,43.0,44.0,46.0,41.0,44.0,35.0
135,46.0,33.0,41.0,48.0,41.0,44.0,44.0,47.0,40.0,44.0,33.0
136,45.0,32.0,40.0,47.0,40.0,42.0,41.0,45.0,38.0,43.0,31.0
137,39.0,28.0,36.0,44.0,38.0,39.0,40.0,43.0,35.0,40.0,26.0
138,39.0,26.0,37.0,41.0,35.0,37.0,37.0,40.0,33.0,37.0,25.0
139,39.0,24.0,36.0,40.0,33.0,35.0,33.0,38.0,30.0,34.0,23.0
140,38.0,22.0,32.0,39.0,31.0,32.0,30.0,35.0,28.0,31.0,20.0
141,36.0,21.0,29.0,37.0,28.0,30.0,29.0,33.0,27.0,30.0,20.0
142,32.0,20.0,28.0,35.0,27.0,28.0,27.0,31.0,26.0,28.0,19.0
143,32.0,19.0,27.0,33.0,26.0,27.0,27.0,29.0,25.0,27.0,18.0
144,30.0,18.0,25.0,30.0,24.0,25.0,25.0,28.0,24.0,25.0,18.0
145,29.0,18.0,25.0,29.0,24.0,25.0,23.0,26.0,22.0,25.0,18.0
146,28.0,17.0,23.0,28.0,23.0,24.0,23.0,26.0,22.0,23.0,17.0
147,28.0,17.0,22.0,27.0,22.0,23.0,21.0,22.0,20.0,22.0,17.0
148,28.0,16.0,22.0,25.0,22.0,22.0,21.0,22.0,20.0,21.0,15.0
149,26.0,15.0,21.0,24.0,22.0,22.0,21.0,21.0,19.0,21.0,15.0
150,26.0,15.0,20.0,23.0,20.0,21.0,20.0,21.0,19.0,20.0,15.0
151,26.0,15.0,20.0,22.0,20.0,20.0,19.0,19.0,19.0,19.0,15.0
152,26.0,15.0,20.0,22.0,20.0,20.0,20.0,21.0,19.0,20.0,13.0
153,28.0,16.0,20.0,25.0,22.0,23.0,22.0,24.0,22.0,23.0,16.0
154,28.0,18.0,22.0,27.0,23.0,24.0,25.0,27.0,24.0,25.0,18.0
155,29.0,20.0,24.0,29.0,24.0,27.0,27.0,29.0,26.0,27.0,21.0
156,29.0,23.0,25.0,31.0,25.0,29.0,28.0,30.0,27.0,29.0,24.0
157,31.0,24.0,27.0,33.0,27.0,31.0,30.0,33.0,29.0,31.0,26.0
158,31.0,26.0,27.0,34.0,27.0,32.0,32.0,33.0,31.0,33.0,28.0
159,31.0,26.0,28.0,35.0,28.0,33.0,33.0,34.0,32.0,34.0,28.0
160,31.0,27.0,28.0,34.0,28.0,32.0,33.0,33.0,32.0,33.0,27.0
161,30.0,26.0,28.0,32.0,28.0,32.0,30.0,30.0,31.0,32.0,25.0
162,30.0,24.0,26.0,31.0,26.0,30.0,27.0,29.0,29.0,30.0,24.0
163,30.0,23.0,24.0,30.0,26.0,29.0,26.0,28.0,27.0,29.0,23.0
164,29.0,23.0,24.0,29.0,25.0,29.0,25.0,27.0,25.0,28.0,23.0
165,31.0,22.0,26.0,28.0,24.0,28.0,23.0,26.0,22.0,28.0,21.0
166,30.0,22.0,22.0,27.0,24.0,27.0,22.0,24.0,23.0,27.0,20.0
167,30.0,22.0,20.0,27.0,23.0,27.0,21.0,22.0,22.0,26.0,20.0
168,29.0,22.0,21.0,25.0,23.0,25.0,21.0,21.0,24.0,25.0,19.0
169,26.0,22.0,20.0,26.0,24.0,26.0,21.0,25.0,24.0,26.0,20.0
170,24.0,21.0,20.0,25.0,23.0,25.0,20.0,26.0,22.0,26.0,19.0
171,22.0,21.0,19.0,22.0,24.0,26.0,20.0,25.0,21.0,26.0,19.0
172,22.0,22.0,18.0,20.0,24.0,27.0,21.0,25.0,23.0,27.0,19.0
173,22.0,21.0,20.0,23.0,25.0,25.0,20.0,25.0,21.0,26.0,18.0
174,24.0,18.0,19.0,23.0,26.0,25.0,20.0,25.0,20.0,25.0,18.0
175,22.0,18.0,20.0,19.0,25.0,25.0,20.0,19.0,21.0,24.0,17.0
176,25.0,19.0,19.0,22.0,25.0,24.0,21.0,20.0,21.0,24.0,18.0
177,31.0,22.0,21.0,29.0,28.0,28.0,24.0,29.0,25.0,28.0,22.0
178,35.0,25.0,28.0,33.0,30.0,31.0,29.0,33.0,29.0,32.0,25.0
179,37.0,27.0,31.0,35.0,32.0,34.0,34.0,35.0,32.0,35.0,27.0
180,37.0,29.0,31.0,36.0,31.0,35.0,34.0,36.0,34.0,36.0,31.0
181,36.0,30.0,33.0,38.0,32.0,35.0,36.0,37.0,34.0,36.0,31.0
182,36.0,30.0,33.0,38.0,33.0,35.0,37.0,37.0,35.0,36.0,32.0
183,35.0,31.0,33.0,38.0,33.0,35.0,37.0,38.0,35.0,36.0,32.0
184,35.0,32.0,33.0,38.0,32.0,35.0,36.0,39.0,35.0,35.0,33.0
185,34.0,32.0,32.0,37.0,31.0,34.0,36.0,37.0,34.0,33.0,33.0
186,35.0,29.0,31.0,35.0,31.0,31.0,34.0,35.0,33.0,32.0,29.0
187,35.0,28.0,31.0,35.0,31.0,30.0,34.0,31.0,33.0,30.0,29.0
188,37.0,27.0,29.0,35.0,30.0,30.0,30.0,31.0,31.0,30.0,29.0
189,35.0,27.0,30.0,32.0,30.0,30.0,31.0,30.0,32.0,30.0,29.0
190,35.0,27.0,30.0,31.0,30.0,30.0,30.0,30.0,31.0,30.0,29.0
191,34.0,27.0,32.0,30.0,30.0,30.0,30.0,30.0,31.0,30.0,29.0
192,33.0,28.0,31.0,30.0,31.0,30.0,30.0,30.0,31.0,30.0,29.0
193,33.0,28.0,31.0,31.0,31.0,30.0,30.0,30.0,30.0,30.0,29.0
194,32.0,27.0,31.0,32.0,31.0,30.0,30.0,30.0,31.0,30.0,27.0
195,31.0,27.0,31.0,32.0,31.0,30.0,30.0,30.0,30.0,30.0,27.0
196,31.0,27.0,31.0,32.0,31.0,30.0,30.0,30.0,30.0,30.0,27.0
197,32.0,26.0,30.0,32.0,31.0,30.0,30.0,30.0,30.0,30.0,27.0
198,31.0,26.0,29.0,32.0,29.0,29.0,30.0,30.0,30.0,30.0,27.0
199,31.0,26.0,29.0,32.0,29.0,30.0,29.0,30.0,29.0,30.0,27.0
200,31.0,26.0,30.0,31.0,28.0,29.0,29.0,30.0,29.0,29.0,27.0
201,33.0,27.0,29.0,31.0,28.0,30.0,30.0,30.0,30.0,30.0,27.0
202,31.0,27.0,30.0,32.0,30.0,30.0,30.0,31.0,30.0,31.0,27.0
203,31.0,28.0,30.0,32.0,31.0,32.0,32.0,33.0,30.0,32.0,27.0
204,33.0,29.0,30.0,33.0,31.0,32.0,31.0,33.0,30.0,32.0,28.0
205,34.0,30.0,31.0,33.0,31.0,32.0,32.0,33.0,31.0,33.0,28.0
206,33.0,29.0,31.0,34.0,31.0,32.0,30.0,34.0,30.0,32.0,28.0
207,33.0,29.0,30.0,34.0,29.0,32.0,32.0,32.0,32.0,32.0,28.0
208,33.0,28.0,30.0,33.0,28.0,31.0,30.0,32.0,30.0,31.0,28.0
209,31.0,28.0,29.0,32.0,26.0,31.0,30.0,32.0,29.0,31.0,28.0
210,31.0,26.0,27.0,32.0,24.0,31.0,29.0,30.0,26.0,30.0,27.0
211,31.0,26.0,25.0,32.0,23.0,30.0,28.0,30.0,28.0,29.0,26.0
212,30.0,25.0,23.0,31.0,20.0,29.0,28.0,30.0,27.0,29.0,24.0
213,29.0,24.0,22.0,31.0,20.0,28.0,28.0,28.0,25.0,27.0,21.0
214,27.0,24.0,20.0,31.0,18.0,28.0,25.0,28.0,23.0,27.0,19.0
215,26.0,23.0,18.0,31.0,17.0,27.0,23.0,28.0,21.0,27.0,19.0
216,24.0,21.0,16.0,29.0,15.0,27.0,21.0,27.0,18.0,26.0,17.0
217,22.0,18.0,16.0,27.0,14.0,26.0,20.0,25.0,18.0,25.0,14.0
218,21.0,17.0,14.0,26.0,12.0,25.0,18.0,23.0,15.0,24.0,13.0
219,20.0,14.0,12.0,24.0,11.0,23.0,16.0,21.0,14.0,21.0,10.0
220,19.0,13.0,11.0,22.0,10.0,22.0,14.0,19.0,13.0,21.0,10.0
221,19.0,12.0,11.0,22.0,10.0,20.0,14.0,19.0,12.0,19.0,9.0
222,17.0,12.0,9.0,21.0,8.0,19.0,14.0,19.0,12.0,18.0,9.0
223,17.0,11.0,9.0,19.0,8.0,17.0,12.0,18.0,11.0,16.0,8.0
224,15.0,10.0,8.0,19.0,8.0,17.0,12.0,18.0,11.0,16.0,8.0
225,15.0,9.0,9.0,19.0,9.0,17.0,12.0,18.0,11.0,16.0,7.0
226,19.0,13.0,9.0,20.0,10.0,19.0,14.0,18.0,13.0,18.0,10.0
227,19.0,14.0,11.0,21.0,12.0,20.0,18.0,21.0,17.0,19.0,12.0
228,19.0,17.0,13.0,23.0,14.0,22.0,19.0,22.0,18.0,21.0,14.0
229,22.0,18.0,14.0,24.0,15.0,23.0,20.0,24.0,19.0,23.0,16.0
230,22.0,20.0,17.0,25.0,16.0,24.0,21.0,24.0,20.0,24.0,17.0
231,20.0,21.0,17.0,25.0,17.0,24.0,23.0,25.0,21.0,24.0,18.0
232,20.0,21.0,17.0,24.0,17.0,24.0,22.0,24.0,21.0,24.0,18.0
233,20.0,20.0,17.0,23.0,16.0,24.0,19.0,22.0,19.0,24.0,18.0
234,18.0,18.0,15.0,20.0,15.0,21.0,18.0,19.0,17.0,20.0,15.0
235,18.0,15.0,14.0,18.0,13.0,19.0,16.0,18.0,15.0,17.0,11.0
236,18.0,11.0,13.0,19.0,13.0,17.0,14.0,18.0,11.0,16.0,9.0
237,18.0,9.0,12.0,18.0,13.0,17.0,12.0,16.0,11.0,14.0,7.0
238,18.0,8.0,12.0,17.0,12.0,15.0,12.0,16.0,10.0,14.0,5.0
239,18.0,7.0,11.0,16.0,12.0,14.0,12.0,13.0,9.0,12.0,5.0
240,18.0,5.0,10.0,14.0,12.0,13.0,11.0,12.0,9.0,11.0,3.0
241,18.0,4.0,10.0,13.0,11.0,11.0,11.0,11.0,7.0,8.0,3.0
242,16.0,3.0,11.0,12.0,11.0,11.0,11.0,10.0,7.0,8.0,1.0
243,15.0,3.0,10.0,12.0,10.0,9.0,10.0,9.0,7.0,7.0,1.0
244,15.0,3.0,9.0,12.0,10.0,9.0,11.0,9.0,7.0,6.0,1.0
245,15.0,2.0,9.0,12.0,10.0,9.0,11.0,9.0,5.0,7.0,1.0
246,13.0,2.0,9.0,12.0,9.0,8.0,10.0,9.0,6.0,6.0,1.0
247,15.0,2.0,9.0,11.0,9.0,7.0,10.0,9.0,5.0,5.0,1.0
248,16.0,4.0,8.0,12.0,9.0,8.0,10.0,9.0,7.0,6.0,1.0
249,21.0,8.0,10.0,17.0,14.0,14.0,16.0,17.0,13.0,13.0,6.0
250,26.0,13.0,17.0,22.0,18.0,19.0,19.0,22.0,18.0,19.0,13.0
251,27.0,17.0,19.0,25.0,20.0,22.0,24.0,26.0,23.0,22.0,19.0
252,27.0,21.0,22.0,26.0,24.0,25.0,27.0,27.0,26.0,26.0,24.0
253,28.0,25.0,24.0,28.0,25.0,28.0,28.0,29.0,27.0,28.0,27.0
254,28.0,28.0,26.0,29.0,27.0,30.0,29.0,29.0,29.0,29.0,31.0
255,28.0,30.0,27.0,30.0,27.0,31.0,31.0,31.0,30.0,31.0,31.0
256,28.0,31.0,27.0,31.0,27.0,33.0,30.0,31.0,30.0,32.0,31.0
257,28.0,31.0,26.0,29.0,26.0,30.0,29.0,29.0,30.0,30.0,33.0
258,26.0,30.0,26.0,28.0,26.0,29.0,28.0,27.0,30.0,29.0,33.0
259,26.0,30.0,24.0,28.0,24.0,28.0,27.0,27.0,29.0,28.0,33.0
260,27.0,28.0,25.0,28.0,26.0,26.0,28.0,27.0,29.0,27.0,32.0
261,28.0,30.0,25.0,27.0,26.0,27.0,28.0,27.0,30.0,28.0,31.0
262,28.0,31.0,27.0,27.0,28.0,28.0,29.0,27.0,30.0,29.0,31.0
263,28.0,30.0,28.0,27.0,29.0,28.0,29.0,28.0,30.0,29.0,30.0
264,28.0,34.0,29.0,28.0,30.0,28.0,29.0,28.0,29.0,29.0,35.0
265,30.0,33.0,30.0,29.0,30.0,29.0,31.0,28.0,30.0,30.0,35.0
266,30.0,32.0,30.0,30.0,30.0,29.0,32.0,30.0,32.0,30.0,36.0
267,32.0,33.0,31.0,31.0,31.0,30.0,32.0,31.0,32.0,31.0,36.0
268,34.0,34.0,31.0,31.0,31.0,31.0,33.0,30.0,32.0,32.0,36.0
269,34.0,34.0,32.0,31.0,31.0,32.0,33.0,31.0,32.0,33.0,36.0
270,34.0,33.0,32.0,32.0,31.0,31.0,33.0,32.0,32.0,32.0,36.0
271,35.0,32.0,31.0,33.0,31.0,32.0,32.0,33.0,31.0,33.0,36.0
272,36.0,32.0,31.0,33.0,29.0,32.0,34.0,33.0,32.0,33.0,36.0
273,39.0,39.0,31.0,36.0,33.0,38.0,37.0,38.0,34.0,38.0,40.0
274,43.0,42.0,35.0,41.0,37.0,42.0,43.0,43.0,39.0,43.0,44.0
275,46.0,44.0,38.0,46.0,41.0,46.0,48.0,50.0,46.0,47.0,48.0
276,49.0,47.0,42.0,49.0,44.0,51.0,53.0,50.0,51.0,51.0,50.0
277,51.0,49.0,46.0,54.0,46.0,53.0,54.0,54.0,52.0,54.0,51.0
278,53.0,50.0,50.0,56.0,49.0,56.0,56.0,55.0,54.0,55.0,52.0
279,53.0,50.0,50.0,57.0,49.0,57.0,57.0,57.0,55.0,57.0,50.0
280,52.0,50.0,48.0,57.0,46.0,56.0,55.0,57.0,55.0,56.0,49.0
281,49.0,47.0,47.0,54.0,46.0,54.0,54.0,54.0,51.0,55.0,44.0
282,45.0,45.0,45.0,50.0,44.0,50.0,50.0,49.0,48.0,50.0,44.0
283,43.0,42.0,44.0,48.0,45.0,47.0,48.0,46.0,47.0,47.0,44.0
284,43.0,39.0,44.0,45.0,45.0,46.0,43.0,38.0,43.0,44.0,41.0
285,44.0,42.0,42.0,41.0,45.0,47.0,40.0,35.0,40.0,45.0,41.0
286,41.0,42.0,44.0,38.0,44.0,42.0,37.0,35.0,40.0,40.0,41.0
287,38.0,41.0,44.0,35.0,44.0,40.0,38.0,32.0,36.0,36.0,40.0
288,34.0,48.0,40.0,31.0,42.0,43.0,36.0,30.0,38.0,39.0,39.0
289,30.0,48.0,39.0,30.0,42.0,43.0,33.0,27.0,33.0,38.0,37.0
290,28.0,45.0,38.0,29.0,40.0,42.0,32.0,27.0,30.0,37.0,36.0
291,28.0,39.0,35.0,28.0,35.0,40.0,30.0,26.0,30.0,35.0,36.0
292,29.0,39.0,37.0,28.0,35.0,37.0,27.0,27.0,29.0,33.0,37.0
293,29.0,37.0,33.0,28.0,36.0,39.0,27.0,30.0,28.0,35.0,37.0
294,31.0,37.0,31.0,28.0,31.0,39.0,33.0,27.0,33.0,34.0,36.0
295,31.0,43.0,33.0,26.0,32.0,42.0,34.0,30.0,32.0,37.0,36.0
296,36.0,46.0,34.0,29.0,33.0,45.0,37.0,34.0,33.0,42.0,35.0
297,43.0,40.0,36.0,39.0,40.0,43.0,43.0,41.0,40.0,43.0,41.0
298,47.0,43.0,40.0,46.0,42.0,46.0,45.0,46.0,45.0,46.0,44.0
299,49.0,45.0,46.0,52.0,44.0,51.0,52.0,53.0,51.0,52.0,48.0
300,49.0,47.0,47.0,55.0,49.0,54.0,54.0,54.0,53.0,54.0,50.0
301,53.0,49.0,49.0,58.0,50.0,56.0,55.0,57.0,56.0,56.0,49.0
302,54.0,49.0,50.0,58.0,50.0,58.0,57.0,57.0,55.0,58.0,48.0
